+--------+------+----+-----------+--------------------+
|movie_id|decade|rank|category_id|          movie_name|
|     364|  2000|   1|         10|Lion King, The (1...|
|     588|  2000|   2|         10|      Aladdin (1992)|
|    3897|  2000|   3|         10|Almost Famous (2000)|
|     919|  2000|   4|         10|Wizard of Oz, The...|
|    1073|  2000|   5|         10|Willy Wonka & the...|
|    2700|  2000|   6|         10|South Park: Bigge...|
|    1220|  2000|   7|         10|Blues Brothers, T...|
|     595|  2000|   8|         10|Beauty and the Be...|
|    1380|  2000|   9|         10|       Grease (1978)|
|    8360|  2000|  10|         10|      Shrek 2 (2004)|
|    2571|  2000|   1|         19|  Matrix, The (1999)|
|     260|  2000|   2|         19|Star Wars: Episod...|
|     480|  2000|   3|         19|Jurassic Park (1993)|
|    1196|  2000|   4|         19|Star Wars: Episod...|
|    1210|  2000|   5|         19|Star Wars: Episod...|
|    1198|  2000|   6|         19|Raiders of the Lo...|
|     110|  2000|   7|         19|   Braveheart (1995)|
|     589|  2000|   8|         19|Terminator 2: Jud...|
|    2028|  2000|   9|         19|Saving Private Ry...|
|    4993|  2000|  10|         19|Lord of the Rings...|
|   58559|  2000|   1|         14|Dark Knight, The ...|
|    3159|  2000|   2|         14|Fantasia 2000 (1999)|
|   54001|  2000|   3|         14|Harry Potter and ...|
|    1797|  2000|   4|         14|      Everest (1998)|
|    8965|  2000|   5|         14|Polar Express, Th...|
|    4458|  2000|   6|         14|Africa: The Seren...|
|    4453|  2000|   7|         14|Michael Jordan to...|
|    6289|  2000|   8|         14|Ghosts of the Aby...|
|   62999|  2000|   9|         14|Madagascar: Escap...|
|    4445|  2000|  10|         14|T-Rex: Back to th...|
|     593|  1990|   1|         15|Silence of the La...|
|      47|  1990|   2|         15|Seven (a.k.a. Se7...|
|     253|  1990|   3|         15|Interview with th...|
|     196|  1990|   4|         15|      Species (1995)|
|    1214|  1990|   5|         15|        Alien (1979)|
|    1200|  1990|   6|         15|       Aliens (1986)|
|      22|  1990|   7|         15|      Copycat (1995)|
|     273|  1990|   8|         15|Frankenstein (Mar...|
|    1387|  1990|   9|         15|         Jaws (1975)|
|    1219|  1990|  10|         15|       Psycho (1960)|
|     541|  1990|   1|         12| Blade Runner (1982)|
|    1617|  1990|   2|         12|L.A. Confidential...|
|    1252|  1990|   3|         12|    Chinatown (1974)|
|     913|  1990|   4|         12|Maltese Falcon, T...|
|     164|  1990|   5|         12|Devil in a Blue D...|
|    1179|  1990|   6|         12|Grifters, The (1990)|
|     999|  1990|   7|         12|2 Days in the Val...|
|    1748|  1990|   8|         12|    Dark City (1998)|
|    1245|  1990|   9|         12|Miller's Crossing...|
|     922|  1990|  10|         12|Sunset Blvd. (a.k...|
|     590|  1990|   1|         16|Dances with Wolve...|
|     266|  1990|   2|         16|Legends of the Fa...|
|     553|  1990|   3|         16|    Tombstone (1993)|
|     368|  1990|   4|         16|     Maverick (1994)|
|     432|  1990|   5|         16|City Slickers II:...|
|    1304|  1990|   6|         16|Butch Cassidy and...|
|     303|  1990|   7|         16|Quick and the Dea...|
|    1266|  1990|   8|         16|   Unforgiven (1992)|
|     383|  1990|   9|         16|   Wyatt Earp (1994)|
|    1408|  1990|  10|         16|Last of the Mohic...|
|     356|  2000|   1|         17| Forrest Gump (1994)|
|     296|  2000|   2|         17| Pulp Fiction (1994)|
|    1270|  2000|   3|         17|Back to the Futur...|
|    1580|  2000|   4|         17| Men in Black (1997)|
|       1|  2000|   5|         17|    Toy Story (1995)|
|    4306|  2000|   6|         17|        Shrek (2001)|
|     608|  2000|   7|         17|        Fargo (1996)|
|    2716|  2000|   8|         17|Ghostbusters (a.k...|
|    2997|  2000|   9|         17|Being John Malkov...|
|    1265|  2000|  10|         17|Groundhog Day (1993)|
|     457|  1990|   1|          3|Fugitive, The (1993)|
|     592|  1990|   2|          3|       Batman (1989)|
|     593|  1990|   3|          3|Silence of the La...|
|     380|  1990|   4|          3|    True Lies (1994)|
|     480|  1990|   5|          3|Jurassic Park (1993)|
|     349|  1990|   6|          3|Clear and Present...|
|      32|  1990|   7|          3|12 Monkeys (Twelv...|
|     165|  1990|   8|          3|Die Hard: With a ...|
|     377|  1990|   9|          3|        Speed (1994)|
|     292|  1990|  10|          3|     Outbreak (1995)|
|     150|  1990|   1|          4|    Apollo 13 (1995)|
|     590|  1990|   2|          4|Dances with Wolve...|
|     380|  1990|   3|          4|    True Lies (1994)|
|     480|  1990|   4|          4|Jurassic Park (1993)|
|     588|  1990|   5|          4|      Aladdin (1992)|
|     349|  1990|   6|          4|Clear and Present...|
|     153|  1990|   7|          4|Batman Forever (1...|
|     780|  1990|   8|          4|Independence Day ...|
|     316|  1990|   9|          4|     Stargate (1994)|
|       1|  1990|  10|          4|    Toy Story (1995)|
|    2858|  2000|   1|          5|American Beauty (...|
|     356|  2000|   2|          5| Forrest Gump (1994)|
|     296|  2000|   3|          5| Pulp Fiction (1994)|
|     318|  2000|   4|          5|Shawshank Redempt...|
|    2762|  2000|   5|          5|Sixth Sense, The ...|
|     110|  2000|   6|          5|   Braveheart (1995)|
|    2028|  2000|   7|          5|Saving Private Ry...|
|    2959|  2000|   8|          5|   Fight Club (1999)|
|    3578|  2000|   9|          5|    Gladiator (2000)|
|     527|  2000|  10|          5|Schindler's List ...|
|     296|  1990|   1|         17| Pulp Fiction (1994)|
|     356|  1990|   2|         17| Forrest Gump (1994)|
|     380|  1990|   3|         17|    True Lies (1994)|
|     588|  1990|   4|         17|      Aladdin (1992)|
|     153|  1990|   5|         17|Batman Forever (1...|
|     344|  1990|   6|         17|Ace Ventura: Pet ...|
|       1|  1990|   7|         17|    Toy Story (1995)|
|     608|  1990|   8|         17|        Fargo (1996)|
|      34|  1990|   9|         17|         Babe (1995)|
|     500|  1990|  10|         17|Mrs. Doubtfire (1...|
|    5669|  2000|   1|          7|Bowling for Colum...|
|    8622|  2000|   2|          7|Fahrenheit 9/11 (...|
|    8464|  2000|   3|          7|Super Size Me (2004)|
|    2064|  2000|   4|          7|   Roger & Me (1989)|
|     246|  2000|   5|          7|  Hoop Dreams (1994)|
|     162|  2000|   6|          7|        Crumb (1994)|
|    6331|  2000|   7|          7|   Spellbound (2002)|
|    1147|  2000|   8|          7|When We Were King...|
|   34072|  2000|   9|          7|March of the Peng...|
|    2677|  2000|  10|          7|Buena Vista Socia...|
|       1|  2000|   1|         18|    Toy Story (1995)|
|    4306|  2000|   2|         18|        Shrek (2001)|
|    1097|  2000|   3|         18|E.T. the Extra-Te...|
|    3114|  2000|   4|         18|  Toy Story 2 (1999)|
|    2987|  2000|   5|         18|Who Framed Roger ...|
|    4886|  2000|   6|         18|Monsters, Inc. (2...|
|     364|  2000|   7|         18|Lion King, The (1...|
|     588|  2000|   8|         18|      Aladdin (1992)|
|    6377|  2000|   9|         18| Finding Nemo (2003)|
|    2355|  2000|  10|         18|Bug's Life, A (1998)|
|    4993|  2000|   1|          8|Lord of the Rings...|
|       1|  2000|   2|          8|    Toy Story (1995)|
|    4306|  2000|   3|          8|        Shrek (2001)|
|    5952|  2000|   4|          8|Lord of the Rings...|
|    2716|  2000|   5|          8|Ghostbusters (a.k...|
|    3996|  2000|   6|          8|Crouching Tiger, ...|
|    2997|  2000|   7|          8|Being John Malkov...|
|    1265|  2000|   8|          8|Groundhog Day (1993)|
|    1197|  2000|   9|          8|Princess Bride, T...|
|    7153|  2000|  10|          8|Lord of the Rings...|
|     593|  2000|   1|         15|Silence of the La...|
|    1214|  2000|   2|         15|        Alien (1979)|
|      47|  2000|   3|         15|Seven (a.k.a. Se7...|
|    1200|  2000|   4|         15|       Aliens (1986)|
|    1258|  2000|   5|         15| Shining, The (1980)|
|    1387|  2000|   6|         15|         Jaws (1975)|
|    2710|  2000|   7|         15|Blair Witch Proje...|
|    2617|  2000|   8|         15|   Mummy, The (1999)|
|    1219|  2000|   9|         15|       Psycho (1960)|
|    1407|  2000|  10|         15|       Scream (1996)|
|     356|  2000|   1|          6| Forrest Gump (1994)|
|     110|  2000|   2|          6|   Braveheart (1995)|
|    2028|  2000|   3|          6|Saving Private Ry...|
|     527|  2000|   4|          6|Schindler's List ...|
|     780|  2000|   5|          6|Independence Day ...|
|     750|  2000|   6|          6|Dr. Strangelove o...|
|    1208|  2000|   7|          6|Apocalypse Now (1...|
|    1222|  2000|   8|          6|Full Metal Jacket...|
|    2324|  2000|   9|          6|Life Is Beautiful...|
|    3753|  2000|  10|          6| Patriot, The (2000)|
|     356|  1990|   1|          2| Forrest Gump (1994)|
|     380|  1990|   2|          2|    True Lies (1994)|
|     595|  1990|   3|          2|Beauty and the Be...|
|     377|  1990|   4|          2|        Speed (1994)|
|     736|  1990|   5|          2|      Twister (1996)|
|     339|  1990|   6|          2|While You Were Sl...|
|     597|  1990|   7|          2| Pretty Woman (1990)|
|     587|  1990|   8|          2|        Ghost (1990)|
|     539|  1990|   9|          2|Sleepless in Seat...|
|     357|  1990|  10|          2|Four Weddings and...|
|     588|  1990|   1|         18|      Aladdin (1992)|
|     595|  1990|   2|         18|Beauty and the Be...|
|       1|  1990|   3|         18|    Toy Story (1995)|
|     364|  1990|   4|         18|Lion King, The (1...|
|      34|  1990|   5|         18|         Babe (1995)|
|     586|  1990|   6|         18|   Home Alone (1990)|
|    1073|  1990|   7|         18|Willy Wonka & the...|
|       2|  1990|   8|         18|      Jumanji (1995)|
|     551|  1990|   9|         18|Nightmare Before ...|
|     594|  1990|  10|         18|Snow White and th...|
|     592|  1990|   1|         20|       Batman (1989)|
|     480|  1990|   2|         20|Jurassic Park (1993)|
|     589|  1990|   3|         20|Terminator 2: Jud...|
|      32|  1990|   4|         20|12 Monkeys (Twelv...|
|     780|  1990|   5|         20|Independence Day ...|
|     316|  1990|   6|         20|     Stargate (1994)|
|     329|  1990|   7|         20|Star Trek: Genera...|
|     292|  1990|   8|         20|     Outbreak (1995)|
|     260|  1990|   9|         20|Star Wars: Episod...|
|     208|  1990|  10|         20|   Waterworld (1995)|
|     296|  1990|   1|          1| Pulp Fiction (1994)|
|     592|  1990|   2|          1|       Batman (1989)|
|     593|  1990|   3|          1|Silence of the La...|
|     153|  1990|   4|          1|Batman Forever (1...|
|     165|  1990|   5|          1|Die Hard: With a ...|
|      47|  1990|   6|          1|Seven (a.k.a. Se7...|
|     608|  1990|   7|          1|        Fargo (1996)|
|     185|  1990|   8|          1|     Net, The (1995)|
|      50|  1990|   9|          1|Usual Suspects, T...|
|     367|  1990|  10|          1|    Mask, The (1994)|
|     356|  1990|   1|          6| Forrest Gump (1994)|
|     110|  1990|   2|          6|   Braveheart (1995)|
|     780|  1990|   3|          6|Independence Day ...|
|     527|  1990|   4|          6|Schindler's List ...|
|     161|  1990|   5|          6| Crimson Tide (1995)|
|     266|  1990|   6|          6|Legends of the Fa...|
|     151|  1990|   7|          6|      Rob Roy (1995)|
|    1183|  1990|   8|          6|English Patient, ...|
|     466|  1990|   9|          6|Hot Shots! Part D...|
|    2028|  1990|  10|          6|Saving Private Ry...|
|     593|  2000|   1|          1|Silence of the La...|
|     296|  2000|   2|          1| Pulp Fiction (1994)|
|    2959|  2000|   3|          1|   Fight Club (1999)|
|     858|  2000|   4|          1|Godfather, The (1...|
|      50|  2000|   5|          1|Usual Suspects, T...|
|     608|  2000|   6|          1|        Fargo (1996)|
|    4226|  2000|   7|          1|      Memento (2000)|
|      47|  2000|   8|          1|Seven (a.k.a. Se7...|
|    1617|  2000|   9|          1|L.A. Confidential...|
|    1036|  2000|  10|          1|     Die Hard (1988)|
|      47|  1990|   1|          9|Seven (a.k.a. Se7...|
|     648|  1990|   2|          9|Mission: Impossib...|
|      50|  1990|   3|          9|Usual Suspects, T...|
|     350|  1990|   4|          9|  Client, The (1994)|
|     160|  1990|   5|          9|        Congo (1995)|
|      22|  1990|   6|          9|      Copycat (1995)|
|    1617|  1990|   7|          9|L.A. Confidential...|
|     198|  1990|   8|          9| Strange Days (1995)|
|     923|  1990|   9|          9| Citizen Kane (1941)|
|     904|  1990|  10|          9|  Rear Window (1954)|
|    8606|  2000|   1|         13|Pull My Daisy (1958)|
|     356|  2000|   1|          2| Forrest Gump (1994)|
|    4306|  2000|   2|          2|        Shrek (2001)|
|    1265|  2000|   3|          2|Groundhog Day (1993)|
|    1721|  2000|   4|          2|      Titanic (1997)|
|    1197|  2000|   5|          2|Princess Bride, T...|
|     377|  2000|   6|          2|        Speed (1994)|
|    2396|  2000|   7|          2|Shakespeare in Lo...|
|    1704|  2000|   8|          2|Good Will Hunting...|
|    1923|  2000|   9|          2|There's Something...|
|     380|  2000|  10|          2|    True Lies (1994)|
|    2571|  2000|   1|          3|  Matrix, The (1999)|
|     593|  2000|   2|          3|Silence of the La...|
|     480|  2000|   3|          3|Jurassic Park (1993)|
|    2762|  2000|   4|          3|Sixth Sense, The ...|
|    2959|  2000|   5|          3|   Fight Club (1999)|
|      50|  2000|   6|          3|Usual Suspects, T...|
|    1240|  2000|   7|          3|Terminator, The (...|
|     608|  2000|   8|          3|        Fargo (1996)|
|    4226|  2000|   9|          3|      Memento (2000)|
|     457|  2000|  10|          3|Fugitive, The (1993)|
|    1617|  2000|   1|         12|L.A. Confidential...|
|     541|  2000|   2|         12| Blade Runner (1982)|
|    1252|  2000|   3|         12|    Chinatown (1974)|
|   32587|  2000|   4|         12|     Sin City (2005)|
|    1748|  2000|   5|         12|    Dark City (1998)|
|     913|  2000|   6|         12|Maltese Falcon, T...|
|    4848|  2000|   7|         12|Mulholland Drive ...|
|    1179|  2000|   8|         12|Grifters, The (1990)|
|    3683|  2000|   9|         12| Blood Simple (1984)|
|    3435|  2000|  10|         12|Double Indemnity ...|
|     588|  1990|   1|         10|      Aladdin (1992)|
|     595|  1990|   2|         10|Beauty and the Be...|
|     364|  1990|   3|         10|Lion King, The (1...|
|    1073|  1990|   4|         10|Willy Wonka & the...|
|     551|  1990|   5|         10|Nightmare Before ...|
|     594|  1990|   6|         10|Snow White and th...|
|     919|  1990|   7|         10|Wizard of Oz, The...|
|      48|  1990|   8|         10|   Pocahontas (1995)|
|     596|  1990|   9|         10|    Pinocchio (1940)|
|    1220|  1990|  10|         10|Blues Brothers, T...|
|     595|  1990|   1|          8|Beauty and the Be...|
|       1|  1990|   2|          8|    Toy Story (1995)|
|      34|  1990|   3|          8|         Babe (1995)|
|     587|  1990|   4|          8|        Ghost (1990)|
|     367|  1990|   5|          8|    Mask, The (1994)|
|    1073|  1990|   6|          8|Willy Wonka & the...|
|     317|  1990|   7|          8|Santa Clause, The...|
|       2|  1990|   8|          8|      Jumanji (1995)|
|     788|  1990|   9|          8|Nutty Professor, ...|
|     551|  1990|  10|          8|Nightmare Before ...|
|     590|  2000|   1|         16|Dances with Wolve...|
|    2012|  2000|   2|         16|Back to the Futur...|
|    1304|  2000|   3|         16|Butch Cassidy and...|
|    1266|  2000|   4|         16|   Unforgiven (1992)|
|    1201|  2000|   5|         16|Good, the Bad and...|
|    1408|  2000|   6|         16|Last of the Mohic...|
|    2701|  2000|   7|         16|Wild Wild West (1...|
|    3671|  2000|   8|         16|Blazing Saddles (...|
|     368|  2000|   9|         16|     Maverick (1994)|
|     553|  2000|  10|         16|    Tombstone (1993)|
|    2762|  2000|   1|          9|Sixth Sense, The ...|
|      50|  2000|   2|          9|Usual Suspects, T...|
|    4226|  2000|   3|          9|      Memento (2000)|
|      47|  2000|   4|          9|Seven (a.k.a. Se7...|
|    1617|  2000|   5|          9|L.A. Confidential...|
|    5445|  2000|   6|          9|Minority Report (...|
|     648|  2000|   7|          9|Mission: Impossib...|
|    2987|  2000|   8|          9|Who Framed Roger ...|
|    4995|  2000|   9|          9|Beautiful Mind, A...|
|    1732|  2000|  10|          9|Big Lebowski, The...|
|     592|  1990|   1|         19|       Batman (1989)|
|     380|  1990|   2|         19|    True Lies (1994)|
|     480|  1990|   3|         19|Jurassic Park (1993)|
|     110|  1990|   4|         19|   Braveheart (1995)|
|     589|  1990|   5|         19|Terminator 2: Jud...|
|     349|  1990|   6|         19|Clear and Present...|
|     153|  1990|   7|         19|Batman Forever (1...|
|     165|  1990|   8|         19|Die Hard: With a ...|
|     780|  1990|   9|         19|Independence Day ...|
|     377|  1990|  10|         19|        Speed (1994)|
|     246|  1990|   1|          7|  Hoop Dreams (1994)|
|     162|  1990|   2|          7|        Crumb (1994)|
|    2064|  1990|   3|          7|   Roger & Me (1989)|
|    1147|  1990|   4|          7|When We Were King...|
|     581|  1990|   5|          7|Celluloid Closet,...|
|    1050|  1990|   6|          7|Looking for Richa...|
|    1289|  1990|   7|          7|Koyaanisqatsi (a....|
|    1189|  1990|   8|          7|Thin Blue Line, T...|
|     206|  1990|   9|          7|     Unzipped (1995)|
|     116|  1990|  10|          7|Anne Frank Rememb...|
|    1797|  1990|   1|         14|      Everest (1998)|
|      37|  1990|   2|         14|Across the Sea of...|
|      33|  1990|   3|         14|Wings of Courage ...|
|    3159|  1990|   4|         14|Fantasia 2000 (1999)|
+--------+------+----+-----------+--------------------+
